Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,avg_commute_min,occupied_units,no_veh,percent_no_veh,workers_over16,public_transport,ratio_pub_trans
06037119202,14000US06037119202,Census Tract 1192.02,"Census Tract 1192.02, Los Angeles County, California",06,037,119202,30,1054,62,0.06,2244,147,0.07
06037119310,14000US06037119310,Census Tract 1193.10,"Census Tract 1193.10, Los Angeles County, California",06,037,119310,34,1202,125,0.1,2054,192,0.09
06037119320,14000US06037119320,Census Tract 1193.20,"Census Tract 1193.20, Los Angeles County, California",06,037,119320,34,1201,56,0.05,2457,138,0.06
06037119340,14000US06037119340,Census Tract 1193.40,"Census Tract 1193.40, Los Angeles County, California",06,037,119340,33,997,199,0.2,1774,402,0.23
06037119341,14000US06037119341,Census Tract 1193.41,"Census Tract 1193.41, Los Angeles County, California",06,037,119341,35,806,53,0.07,1393,109,0.08
06037119342,14000US06037119342,Census Tract 1193.42,"Census Tract 1193.42, Los Angeles County, California",06,037,119342,34,765,64,0.08,1493,190,0.13
06037119400,14000US06037119400,Census Tract 1194,"Census Tract 1194, Los Angeles County, California",06,037,119400,31,1148,51,0.04,2504,144,0.06
06037119700,14000US06037119700,Census Tract 1197,"Census Tract 1197, Los Angeles County, California",06,037,119700,29,1315,15,0.01,2599,161,0.06
06037119800,14000US06037119800,Census Tract 1198,"Census Tract 1198, Los Angeles County, California",06,037,119800,31,1476,103,0.07,3196,116,0.04
06037119900,14000US06037119900,Census Tract 1199,"Census Tract 1199, Los Angeles County, California",06,037,119900,31,1183,38,0.03,2511,100,0.04
06037120010,14000US06037120010,Census Tract 1200.10,"Census Tract 1200.10, Los Angeles County, California",06,037,120010,34,730,43,0.06,1358,125,0.09
06037120020,14000US06037120020,Census Tract 1200.20,"Census Tract 1200.20, Los Angeles County, California",06,037,120020,26,1138,209,0.18,1802,255,0.14
06037120030,14000US06037120030,Census Tract 1200.30,"Census Tract 1200.30, Los Angeles County, California",06,037,120030,29,740,217,0.29,1122,230,0.20
06037120103,14000US06037120103,Census Tract 1201.03,"Census Tract 1201.03, Los Angeles County, California",06,037,120103,30,841,207,0.25,1332,268,0.20
06037120104,14000US06037120104,Census Tract 1201.04,"Census Tract 1201.04, Los Angeles County, California",06,037,120104,34,790,203,0.26,1134,239,0.21
06037120105,14000US06037120105,Census Tract 1201.05,"Census Tract 1201.05, Los Angeles County, California",06,037,120105,33,881,204,0.23,1143,101,0.09
06037120106,14000US06037120106,Census Tract 1201.06,"Census Tract 1201.06, Los Angeles County, California",06,037,120106,37,1167,235,0.2,1902,366,0.19
06037120107,14000US06037120107,Census Tract 1201.07,"Census Tract 1201.07, Los Angeles County, California",06,037,120107,32,1058,192,0.18,1457,229,0.16
06037120108,14000US06037120108,Census Tract 1201.08,"Census Tract 1201.08, Los Angeles County, California",06,037,120108,32,1340,172,0.13,2252,161,0.07
06037120300,14000US06037120300,Census Tract 1203,"Census Tract 1203, Los Angeles County, California",06,037,120300,31,1341,17,0.01,2500,105,0.04
06037120400,14000US06037120400,Census Tract 1204,"Census Tract 1204, Los Angeles County, California",06,037,120400,27,2125,218,0.1,3277,108,0.03
06037121010,14000US06037121010,Census Tract 1210.10,"Census Tract 1210.10, Los Angeles County, California",06,037,121010,35,1274,92,0.07,2304,69,0.03
06037121020,14000US06037121020,Census Tract 1210.20,"Census Tract 1210.20, Los Angeles County, California",06,037,121020,31,1075,83,0.08,1773,133,0.08
06037121101,14000US06037121101,Census Tract 1211.01,"Census Tract 1211.01, Los Angeles County, California",06,037,121101,30,922,78,0.08,1446,68,0.05
06037121102,14000US06037121102,Census Tract 1211.02,"Census Tract 1211.02, Los Angeles County, California",06,037,121102,29,816,58,0.07,1285,79,0.06
06037121210,14000US06037121210,Census Tract 1212.10,"Census Tract 1212.10, Los Angeles County, California",06,037,121210,33,785,70,0.09,1309,74,0.06
06037121221,14000US06037121221,Census Tract 1212.21,"Census Tract 1212.21, Los Angeles County, California",06,037,121221,28,528,10,0.02,1106,42,0.04
06037121222,14000US06037121222,Census Tract 1212.22,"Census Tract 1212.22, Los Angeles County, California",06,037,121222,30,1223,42,0.03,2168,296,0.14
06037121600,14000US06037121600,Census Tract 1216,"Census Tract 1216, Los Angeles County, California",06,037,121600,36,821,15,0.02,1246,55,0.04
06037121801,14000US06037121801,Census Tract 1218.01,"Census Tract 1218.01, Los Angeles County, California",06,037,121801,33,1122,110,0.1,1355,120,0.09
06037121802,14000US06037121802,Census Tract 1218.02,"Census Tract 1218.02, Los Angeles County, California",06,037,121802,34,715,24,0.03,1173,91,0.08
06037121900,14000US06037121900,Census Tract 1219,"Census Tract 1219, Los Angeles County, California",06,037,121900,30,957,33,0.03,1675,84,0.05
06037122000,14000US06037122000,Census Tract 1220,"Census Tract 1220, Los Angeles County, California",06,037,122000,28,1555,59,0.04,2828,45,0.02
06037122120,14000US06037122120,Census Tract 1221.20,"Census Tract 1221.20, Los Angeles County, California",06,037,122120,27,1070,16,0.01,2033,44,0.02
06037122121,14000US06037122121,Census Tract 1221.21,"Census Tract 1221.21, Los Angeles County, California",06,037,122121,28,700,39,0.06,1242,125,0.10
06037122122,14000US06037122122,Census Tract 1221.22,"Census Tract 1221.22, Los Angeles County, California",06,037,122122,26,593,43,0.07,948,97,0.10
06037122200,14000US06037122200,Census Tract 1222,"Census Tract 1222, Los Angeles County, California",06,037,122200,30,895,52,0.06,1647,83,0.05
06037122410,14000US06037122410,Census Tract 1224.10,"Census Tract 1224.10, Los Angeles County, California",06,037,122410,31,1099,90,0.08,1361,51,0.04
06037122420,14000US06037122420,Census Tract 1224.20,"Census Tract 1224.20, Los Angeles County, California",06,037,122420,30,1380,152,0.11,2127,252,0.12
06037123010,14000US06037123010,Census Tract 1230.10,"Census Tract 1230.10, Los Angeles County, California",06,037,123010,34,1057,91,0.09,1630,219,0.13
06037123020,14000US06037123020,Census Tract 1230.20,"Census Tract 1230.20, Los Angeles County, California",06,037,123020,32,826,18,0.02,1552,107,0.07
06037123103,14000US06037123103,Census Tract 1231.03,"Census Tract 1231.03, Los Angeles County, California",06,037,123103,29,1550,150,0.1,2005,222,0.11
06037123104,14000US06037123104,Census Tract 1231.04,"Census Tract 1231.04, Los Angeles County, California",06,037,123104,25,1557,152,0.1,2056,63,0.03
06037123203,14000US06037123203,Census Tract 1232.03,"Census Tract 1232.03, Los Angeles County, California",06,037,123203,28,1137,88,0.08,1584,162,0.10
06037123204,14000US06037123204,Census Tract 1232.04,"Census Tract 1232.04, Los Angeles County, California",06,037,123204,30,1015,108,0.11,1429,114,0.08
06037123205,14000US06037123205,Census Tract 1232.05,"Census Tract 1232.05, Los Angeles County, California",06,037,123205,30,759,56,0.07,1257,68,0.05
06037123206,14000US06037123206,Census Tract 1232.06,"Census Tract 1232.06, Los Angeles County, California",06,037,123206,31,869,81,0.09,1272,164,0.13
06037123301,14000US06037123301,Census Tract 1233.01,"Census Tract 1233.01, Los Angeles County, California",06,037,123301,35,1473,90,0.06,2517,229,0.09
